clubLabel,venueLabel,coordinates,countryLabel
Écija Balompié,Q4132382,Point(-5.07806 37.5359),Spain
FC Helios Kharkiv,Helios Arena,Point(36.1812 49.946),Ukraine
FC Tyumen,Geolog Stadium,Point(65.5139 57.1617),Russia
Debed Alaverdi,Alaverdi City Stadium,Point(44.648611 41.096389),Armenia
FC Vologda,Dinamo stadium (Vologda),Point(39.885 59.2138),Russia
FC Dynamo Barnaul,Dynamo Stadium,Point(83.793358 53.336028),Russia
FC Dynamo Bryansk,Dynamo Stadium,Point(34.28578889 53.31826389),Russia
FC Dynamo Saint Petersburg,Q4161837,Point(30.2653 59.9684),Russia
FC Bashinformsvyaz-Dynamo Ufa,Dynamo Stadium,Point(55.9387 54.7186),Russia
FC Dynamo Stavropol,Dynamo Stadium,Point(41.97 45.0424),Russia
FC Kavkaztransgaz-2005 Ryzdvyany,Dynamo Stadium,Point(41.97 45.0424),Russia
FC Stavropolye-2009,Dynamo Stadium,Point(41.97 45.0424),Russia
FC Stavropol,Dynamo Stadium,Point(41.97 45.0424),Russia
FK Karvan,Yevlakh City Stadium,Point(48.8571 38.7472),Azerbaijan
FC Zhetysu,Zhetysu Stadium,Point(78.365103 45.019716),Kazakhstan
FK Jelgava,Olympic Sports Center of Zemgale,Point(23.7563 56.6617),Latvia
Arema FC,Kanjuruhan Stadium,Point(112.573975 -8.149333),Indonesia
Arema FC U-21,Kanjuruhan Stadium,Point(112.573975 -8.149333),Indonesia
Persekam Metro FC,Kanjuruhan Stadium,Point(112.573975 -8.149333),Indonesia
Arema Pelita Bakrie FC,Kanjuruhan Stadium,Point(112.573975 -8.149333),Indonesia
PSMS Medan,Teladan Stadium,Point(98.695556 3.564722),Indonesia
Bintang Medan F.C.,Teladan Stadium,Point(98.695556 3.564722),Indonesia
Medan Jaya,Teladan Stadium,Point(98.695556 3.564722),Indonesia
Medan United,Teladan Stadium,Point(98.695556 3.564722),Indonesia
Thamrin Graha Metropolitan Medan,Teladan Stadium,Point(98.695556 3.564722),Indonesia
Pro Duta F.C.,Teladan Stadium,Point(98.695556 3.564722),Indonesia
Qingdao Hainiu F.C.,Yizhong Sports Center,Point(120.44 36.1033),People's Republic of China
Qingdao Hailifeng F.C.,Yizhong Sports Center,Point(120.44 36.1033),People's Republic of China
FC KAMAZ Naberezhnye Chelny,KAMAZ Stadium,Point(52.41781944 55.73207778),Russia
Q16656617,KAMAZ Stadium,Point(52.41781944 55.73207778),Russia
Semen Padang F.C.,Haji Agus Salim Stadium,Point(100.358333 -0.929444),Indonesia
Minangkabau F.C.,Haji Agus Salim Stadium,Point(100.358333 -0.929444),Indonesia
FC Irtysh Omsk,Red Star Stadium,Point(73.427006 54.973346),Russia
Persibo Bojonegoro,Letjen Haji Sudirman Stadium,Point(111.900886 -7.148188),Indonesia
Persita Tangerang,Singaperbangsa Stadium,Point(107.306235 -6.302641),Indonesia
Persika Karawang,Singaperbangsa Stadium,Point(107.306235 -6.302641),Indonesia
Zibo Sunday S.C.,Zibo Sports Center Stadium,Point(117.982856 36.813306),People's Republic of China
Sharjah FC,Sharjah Stadium,Point(55.419572222 25.333205555),United Arab Emirates
PAS Tehran F.C.,Shahid Dastgerdi Stadium,Point(51.311708 35.707671),Iran
Steel Azin F.C.,Shahid Dastgerdi Stadium,Point(51.311708 35.707671),Iran
Naft Tehran F.C.,Shahid Dastgerdi Stadium,Point(51.311708 35.707671),Iran
Persik Kediri,Brawijaya Stadium,Point(112.028602 -7.817041),Indonesia
Sông Lam Nghệ An F.C.,Vinh Stadium,Point(105.669508 18.669015),Vietnam
Sarawak Football Association,Sarawak Stadium,Point(110.360186111 1.588544444),Malaysia
Chonburi F.C.,Chonburi Municipality Stadium,Point(100.976389 13.364444),Thailand
Chonburi F.C. Reserves and Academy,Chonburi Municipality Stadium,Point(100.976389 13.364444),Thailand
Vicem Hai Phong F.C.,Lạch Tray Stadium,Point(106.688743 20.851779),Vietnam
UPB-MyTeam FC,Likas Stadium,Point(116.095544444 5.983355555),Malaysia
Sabah FA,Likas Stadium,Point(116.095544444 5.983355555),Malaysia
Kelantan FA,Sultan Mohammad IV Stadium,Point(102.243561111 6.123838888),Malaysia
Tumpat FA,Sultan Mohammad IV Stadium,Point(102.243561111 6.123838888),Malaysia
MPKB-BRI U-Bes F.C.,Sultan Mohammad IV Stadium,Point(102.243561111 6.123838888),Malaysia
Kelantan FA,Sultan Mohammad IV Stadium,Point(102.243561111 6.123838888),Malaysia
Shenzhen F.C.,Shenzhen Stadium,Point(114.086989 22.562175),People's Republic of China
Army United F.C.,Thai Army Sports Stadium,Point(100.55655 13.782645),Thailand
Army Welfare Department F.C.,Thai Army Sports Stadium,Point(100.55655 13.782645),Thailand
Shenzhen Fengpeng F.C.,New Shenzhen Stadium,Point(114.212194 22.697139),People's Republic of China
Happy Valley AA,Kowloon Bay Park,Point(114.21 22.3271),People's Republic of China
Boston River,Estadio Complejo Rentistas,Point(-56.165854 -34.776394),Uruguay
C.A. Rentistas,Estadio Complejo Rentistas,Point(-56.165854 -34.776394),Uruguay
Mash'al Mubarek,Bahrom Vafoev Stadium,Point(69.27883 40.213563),Uzbekistan
PAE Kerkyra,Kerkyra Stadium,Point(19.915836 39.611364),Greece
Kassiopi F.C.,Kerkyra Stadium,Point(19.915836 39.611364),Greece
Kavala F.C.,Anthi Karagianni Stadium,Point(24.436111 40.946944),Greece
Santos FC Futebol de mesa,Arena Santos,Point(-46.333277777 -23.942166666),Brazil
Teuta Durrës B,Niko Dovana Stadium,Point(19.44944444 41.32583333),Albania
Teuta Durrës B,Niko Dovana Stadium,Point(19.449856 41.326081),Albania
Boreham Wood F.C.,Meadow Park,Point(-0.272222 51.661944),United Kingdom
Arsenal W.F.C. Academy,Meadow Park,Point(-0.272222 51.661944),United Kingdom
Operário Futebol Clube,Morenão,Point(-54.609722 -20.501389),Brazil
Esporte Clube Comercial,Morenão,Point(-54.609722 -20.501389),Brazil
Q9780638,Morenão,Point(-54.609722 -20.501389),Brazil
Novoperário Futebol Clube,Morenão,Point(-54.609722 -20.501389),Brazil
Esporte Clube Juventude,Estádio Alfredo Jaconi,Point(-51.176 -29.162),Brazil
Derry Celtic F.C.,Celtic Park,Point(-7.333611 54.993333),United Kingdom
K. Beringen F.C.,Mijnstadion,Point(5.218077 51.07441),Belgium
Club Sport Emelec,Estadio George Capwell,Point(-79.893758 -2.206603),Ecuador
SD Eibar,Ipurúa Municipal Stadium,Point(-2.475803 43.181706),Spain
Burgos CF,Estadio El Plantío,Point(-3.680556 42.344167),Spain
Burgos CF,Estadio El Plantío,Point(-3.680556 42.344167),Spain
CF Badalona,Camp del Centenari,Point(2.251135 41.457121),Spain
Clube Desportivo Primeiro de Agosto,Estádio da Cidadela,Point(13.255889 -8.827389),Angola
Atlético Sport Aviação,Estádio da Cidadela,Point(13.255889 -8.827389),Angola
Progresso Associação do Sambizanga,Estádio da Cidadela,Point(13.255889 -8.827389),Angola
Clube Atlético de Luanda,Estádio da Cidadela,Point(13.255889 -8.827389),Angola
C.D. Escola Norberto de Castro,Estádio da Cidadela,Point(13.255889 -8.827389),Angola
F.C. Luanda,Estádio da Cidadela,Point(13.255889 -8.827389),Angola
Club Sportivo Sergipe,Estádio João Hora de Oliveira,Point(-37.07222222 -10.92333333),Brazil
Orihuela CF,Estadio Municipal Los Arcos,Point(-0.95 38.08333333),Spain
Orihuela Deportiva CF,Estadio Municipal Los Arcos,Point(-0.95 38.08333333),Spain
Lorca Deportiva CF,Estadio Francisco Artés Carrasco,Point(-1.735122 37.638817),Spain
Lorca Atlético CF,Estadio Francisco Artés Carrasco,Point(-1.735122 37.638817),Spain
Lorca Fútbol Club,Estadio Francisco Artés Carrasco,Point(-1.735122 37.638817),Spain
C.F. Lorca Deportiva,Estadio Francisco Artés Carrasco,Point(-1.735122 37.638817),Spain
Racing de Ferrol,Estadio Municipal da Malata,Point(-8.239017 43.491258),Spain
Rangers F.C. Reserve and Youth squads,Murray Park,Point(-4.304516 55.933193),United Kingdom
UB Conquense,Estadio La Fuensanta,Point(-2.140278 40.077222),Spain
Motril CF,Estadio Escribano Castilla,Point(-3.51277778 36.75444167),Spain
CF Motril,Estadio Escribano Castilla,Point(-3.51277778 36.75444167),Spain
RSD Alcalá,Q3330797,Point(-3.34722 40.483),Spain
S.C. Covilhã,Complexo Desportivo da Covilhã,Point(-7.497869 40.264889),Portugal
CS Turnu Severin,Stadionul Municipal,Point(22.667222 44.638611),Romania
FC Drobeta-Turnu Severin,Stadionul Municipal,Point(22.667222 44.638611),Romania
FK Radnički 1923,Čika Dača Stadium,Point(20.899194 44.020872),Serbia
Bangor City F.C.,Nantporth,Point(-4.150139 53.225453),United Kingdom
FK Tomori Berat,Tomori Stadium,Point(19.964444 40.698889),Albania
Tacuarembó F.C.,Estadio Goyenola,Point(-55.991944 -31.711944),Uruguay
Prescot Cables F.C.,Valerie Park,Point(-2.80481 53.4319),United Kingdom
Skelmersdale United F.C.,Valerie Park,Point(-2.80481 53.4319),United Kingdom
MSP Batna,Stade 1er Novembre 1954,Point(6.187778 35.557222),Algeria
Juventus,Orange Walk People's Stadium,Point(-88.570277777 18.083055555),Belize
AS Béziers,Stade de Sauclières,Point(3.225 43.331389),France
AS Béziers,Stade de Sauclières,Point(3.225 43.331389),France
The New Saints F.C.,Park Hall,Point(-3.02631 52.8759),United Kingdom
Oswestry Town F.C.,Park Hall,Point(-3.02631 52.8759),United Kingdom
Club de Futbol Universidad de Costa Rica,Q3371208,Point(-84.0441 9.94455),Costa Rica
Ayr United F.C.,Somerset Park,Point(-4.62 55.4696),United Kingdom
Sulaymaniya FC,Sulaymaniyah Stadium,Point(45.4289 35.5498),Iraq
Benidorm CF,Estadio Municipal Guillermo Amor,Point(-0.137908 38.54741),Spain
Algeciras CF,Estadio Nuevo Mirador,Point(-5.46527778 36.16333333),Spain
GKS Katowice,Stadion GKS Katowice,Point(19.001203 50.279747),Poland
Sestao River Club,Las Llanas Municipal Stadium,Point(-3.00972 43.3106),Spain
S.S. Teramo Calcio,Stadio Gaetano Bonolis,Point(13.762583333 42.682527777),Italy
Celta Vigo B,Municipal de Barreiro,Point(-8.68076 42.22861),Spain
Gran Peña FC,Municipal de Barreiro,Point(-8.68076 42.22861),Spain
FK Teteks,Gradski stadion Tetovo,Point(20.978179 42.018692),North Macedonia
FK Renova,Gradski stadion Tetovo,Point(20.978179 42.018692),North Macedonia
FK Shkëndija,Gradski stadion Tetovo,Point(20.978179 42.018692),North Macedonia
FK Ljuboten,Gradski stadion Tetovo,Point(20.978179 42.018692),North Macedonia
FK Napredok,Gradski stadion Kičevo,Point(20.963333 41.507222),North Macedonia
FK Vlazrimi,Gradski stadion Kičevo,Point(20.963333 41.507222),North Macedonia
FK Metalurg Skopje,Železarnica Stadium,Point(21.4611 42.0067),North Macedonia
FK Sileks,Gradski stadion Kratovo,Point(22.1610253 42.0808178),North Macedonia
FK Turnovo,Stadion Kukuš,Point(22.7689 41.4375),North Macedonia
FK Pelister,Stadion Tumbe Kafe,Point(21.338889 41.018056),North Macedonia
Tadamon SC,Al-Assad Stadium,Point(35.785335 35.52766),Syria
Kiira Young FC,National Stadium,Point(32.65888889 0.34720833),Uganda
Attasaddy Misurata Sports Club,Misurata Stadium,Point(15.045969 32.363317),Libya
Olympic El Qanah FC,Suez Canal Stadium,Point(32.2925 30.5927),Egypt
Al-Asalah,Prince Mohammed Stadium,Point(36.320161 33.522789),Jordan
Semen Padang FC U-21,Haji Agus Salim Stadium,Point(100.358333 -0.929444),Indonesia
California Victory,Kezar Stadium,Point(-122.456111111 37.766944444),United States of America
San Francisco Nighthawks,Kezar Stadium,Point(-122.456111111 37.766944444),United States of America
San Francisco Deltas,Kezar Stadium,Point(-122.456111111 37.766944444),United States of America
PSPS Pekanbaru,Kaharudin Nasution Sport Center Rumbai Stadium,Point(101.430684 0.57261),Indonesia
PSPS U-21,Kaharudin Nasution Sport Center Rumbai Stadium,Point(101.430684 0.57261),Indonesia
PFC Nyva Vinnytsia,Tsentralnyi Stadion (Vinnytsya),Point(28.489722 49.243333),Ukraine
FC Sokol Saratov,Lokomotiv Stadium,Point(45.998533 51.539215),Russia
Persmin Minahasa,Maesa Stadium,Point(124.91371 1.316847),Indonesia
Persiwa Wamena,Pendidikan Stadium,Point(138.948319 -4.099473),Indonesia
Persitoli Tolikara,Pendidikan Stadium,Point(138.948319 -4.099473),Indonesia
Persiwa U-21,Pendidikan Stadium,Point(138.948319 -4.099473),Indonesia
Persela Lamongan,Surajaya Stadium,Point(112.429 -7.11342),Indonesia
Persela U-21,Surajaya Stadium,Point(112.429 -7.11342),Indonesia
Perseden Denpasar,Ngurah Rai Stadium,Point(115.223508 -8.650697),Indonesia
Persiter Ternate,Gelora Kieraha Stadium,Point(127.381889 0.786316),Indonesia
Kamatamare Sanuki,Kagawa Marugame Stadium,Point(133.78592 34.261632),Japan
FC Stal Dniprodzerzhynsk,Metalurh Stadium,Point(34.5974 48.5176),Ukraine
FC Neftekhimik Nizhnekamsk,Neftekhimik Stadium,Point(51.8025 55.6334),Russia
FC Ufa,Neftyanik Stadium,Point(56.0614 54.8259),Russia
FC Olimpia Volgograd,"Olympia Stadium, Volgograd",Point(44.4772 48.7664),Russia
Clube 15 de Novembro,Estádio Sady Arnildo Schmidt,Point(-51.053 -29.682),Brazil
Treze Futebol Clube,Estádio Presidente Vargas,Point(-35.89472222 -7.22777778),Brazil
Q9633596,Estádio Presidente Vargas,Point(-35.89472222 -7.22777778),Brazil
Social Futebol Clube,Estádio Louis Ensch,Point(-42.626389 -19.5225),Brazil
Chiangmai F.C.,700th Anniversary Stadium,Point(98.959444 18.839722),Thailand
JL Chiangmai United F.C.,700th Anniversary Stadium,Point(98.959444 18.839722),Thailand
Boldklubben af 1893,Østerbro Stadium,Point(12.5747 55.704),Denmark
Southern District FC,Aberdeen Sports Ground,Point(114.172 22.2498),People's Republic of China
Histon F.C.,Bridge Road,Point(0.114258 52.242053),United Kingdom
FC Oryol,Central Stadium,Point(36.04581111 52.969875),Russia
C.D. Huíla,Estádio da Ferrovia,Point(15.76238889 -12.75575),Angola
Clube Ferroviário da Huíla,Estádio da Ferrovia,Point(15.76238889 -12.75575),Angola
Friburguense Atlético Clube,Estádio Eduardo Guinle,Point(-42.541389 -22.298611),Brazil
Deportivo La Coruña Brasil Futebol Clube,Estádio Eduardo Guinle,Point(-42.541389 -22.298611),Brazil
Santa Cruz Futebol Clube,Estádio Eduardo Guinle,Point(-42.541389 -22.298611),Brazil
Itaperuna Esporte Clube,Estádio Jair Bittencourt,Point(-41.889081 -21.202964),Brazil
Freeport F.C.,Grand Bahama Stadium,Point(-78.676022 26.543351),Bahamas
PFC Hebar Pazardzhik,Georgi Benkovski Stadium,Point(24.3225 42.21083333),Bulgaria
FC Yantra,Hristo Botev Stadium,Point(25.319722 42.86),Bulgaria
Clube Atlético Joseense,Estádio ADC Parahyba,Point(-45.88995 -23.163706),Brazil
Futebol Clube Primeira Camisa,Estádio ADC Parahyba,Point(-45.88995 -23.163706),Brazil
Iraty Sport Club,Estádio Coronel Emílio Gomes,Point(-50.65939444 -25.46698056),Brazil
PFC Shumen 2010,Panayot Volov Stadium,Point(26.944167 43.276667),Bulgaria
FC Shumen 1929,Panayot Volov Stadium,Point(26.944167 43.276667),Bulgaria
PFC Rilski Sportist Samokov,Iskar Stadium,Point(23.55916667 42.32222222),Bulgaria
FC Rotor Volgograd,Volgograd Arena,Point(44.5481 48.7346),Russia
Tianjin Quanjian F.C.,Tianjin Tuanbo Football Stadium,Point(117.184441666 38.8834),People's Republic of China
Beijing Hongdeng F.C.,Shijingshan Stadium,Point(116.195376 39.904774),People's Republic of China
FC Khimki,Rodina Stadium,Point(37.459 55.903),Russia
FC Rubin-2 Kazan,Rubin Stadium,Point(49.0864 55.8494),Russia
FC Yenisey Krasnoyarsk,Central Stadium,Point(92.88466389 55.99840278),Russia
Associação Desportiva Confiança,Batistão,Point(-37.049167 -10.926667),Brazil
Cotinguiba Esporte Clube,Batistão,Point(-37.049167 -10.926667),Brazil
Vasco Esporte Clube,Batistão,Point(-37.049167 -10.926667),Brazil
Q10370253,Batistão,Point(-37.049167 -10.926667),Brazil
FC Asmaral Moscow,Salyut Stadium,Point(36.579206 50.602689),Russia
FC Salyut Belgorod,Salyut Stadium,Point(36.579206 50.602689),Russia
FC Dolgoprudny,Salyut Stadium,Point(36.579206 50.602689),Russia
FC Energomash Belgorod,Salyut Stadium,Point(36.579206 50.602689),Russia
União Agrícola Barbarense Futebol Clube,Estádio Antônio R. Guimarães,Point(-47.42447778 -22.755475),Brazil
FC Sevastopol,Sevastopol Sports Complex,Point(33.542 44.6026),Ukraine
FC Chayka-VMS Sevastopol,Sevastopol Sports Complex,Point(33.542 44.6026),Ukraine
FC SKChF Sevastopol,Sevastopol Sports Complex,Point(33.542 44.6026),Ukraine
RoPS,Rovaniemen keskuskenttä,Point(25.7217 66.4997),Finland
FC Santa Claus,Rovaniemen keskuskenttä,Point(25.7217 66.4997),Finland
RoPS,Rovaniemen keskuskenttä,Point(25.721667 66.499722),Finland
FC Santa Claus,Rovaniemen keskuskenttä,Point(25.721667 66.499722),Finland
FC Jūrmala,Slokas Stadium,Point(23.6101985 56.9495911),Latvia
FK Spartaks Jūrmala,Slokas Stadium,Point(23.6101985 56.9495911),Latvia
FC Sodovik Sterlitamak,Sodovik Stadium,Point(55.976225 53.641672),Russia
FC Dnepr Mogilev,Spartak Stadium,Point(30.340556 53.905278),Belarus
FC Belshina Bobruisk,Spartak Stadium,Point(29.217222 53.140278),Belarus
FC Bobruisk,Spartak Stadium,Point(29.217222 53.140278),Belarus
FC Olimpiyets Nizhny Novgorod,Nizhny Novgorod Stadium,Point(43.963333333 56.3375),Russia
FC BATE Borisov,Barysau Arena,Point(28.4753 54.1931),Belarus
FC Torpedo Zaporizhya,JSC ZAZ Stadium,Point(35.193328 47.801261),Ukraine
Taiyuan Zhongyou Jiayi F.C.,Hohhot City Stadium,Point(111.650491 40.851203),People's Republic of China
FC Desna Chernihiv,Yuri Gagarin Stadium,Point(31.32722222 51.50166667),Ukraine
FC Shakhtyor Salihorsk,Shakhtsyor Stadium,Point(27.538333 52.798333),Belarus
IK Sirius,Studenternas IP,Point(17.644444 59.85),Sweden
IFK Uppsala Fotboll,Studenternas IP,Point(17.644444 59.85),Sweden
IFK Uppsala Fotboll,Studenternas IP,Point(17.644444 59.85),Sweden
Güneş SK,Taksim Stadium,Point(28.97027778 41.03833333),Turkey
FC Tekstilshchik Ivanovo,Q4453874,Point(40.9503 57.0185),Russia
FK Inđija,Inđija Stadium,Point(20.09 45.05),Serbia
FC Zvezda Irkutsk,Trud Stadium,Point(104.282 52.2764),Russia
AZAL PFC,AZAL Arena,Point(50.1964 40.4968),Azerbaijan
Kidderminster Harriers F.C.,Aggborough,Point(-2.242652777 52.380472222),United Kingdom
Ajman Club,Ajman Stadium,Point(55.450546 25.392215),United Arab Emirates
Al-Quwa Al-Jawiya,Al Quwa Al Jawiya Stadium,Point(44.438828 33.344529),Iraq
Al Tadamun SC,Farwaniya Stadium,Point(47.962661111 29.288755555),Kuwait
El Makasa,Fayoum Stadium,Point(30.84 29.318),Egypt
Fayoum SC,Fayoum Stadium,Point(30.84 29.318),Egypt
Portmore United F.C.,Ferdi Neita Sports Complex,Point(-76.9028 17.9527),Jamaica
Naggo Head F.C.,Ferdi Neita Sports Complex,Point(-76.9028 17.9527),Jamaica
Ballinamallard United F.C.,Ferney Park,Point(-7.59311 54.425),United Kingdom
Wexford Youths F.C.,Ferrycarrig Park,Point(-6.51555 52.3656),Ireland
Chattanooga FC,Finley Stadium,Point(-85.315762 35.036374),United States of America
IFK Värnamo,Finnvedsvallen,Point(14.04280556 57.19591667),Sweden
Seacoast United Mariners,Fitzpatrick Stadium,Point(-70.2767 43.6579),United States of America
Galatasaray A2,Florya Metin Oktay Sports Complex and Training Center,Point(28.79944444 40.975),Turkey
Galatasaray U21,Florya Metin Oktay Sports Complex and Training Center,Point(28.79944444 40.975),Turkey
BK Derby,Folkungavallen,Point(15.63166667 58.40416667),Sweden
FK Linköping,Folkungavallen,Point(15.63166667 58.40416667),Sweden
Linköpings FF,Folkungavallen,Point(15.63166667 58.40416667),Sweden
Sacramento Knights,Folsom High School,Point(-121.156 38.6491),United States of America
Texas Strikers,Ford Arena,Point(-94.18 30.0108),United States of America
Thunder Bay Chill,Fort William Stadium,Point(-89.2636 48.3867),Canada
King's Park F.C.,Forthbank Park,Point(-3.929 56.114),United Kingdom
Vittoriosa Stars F.C.,Fortini Ground,Point(14.52501 35.88636),Malta
Tiro Federal,Fortín de Ludueña,Point(-60.69468889 -32.92934444),Argentina
FK Baník Most,Fotbalový stadion Josefa Masopusta,Point(13.646883 50.510642),Czech Republic
Q6016234,Q5476415,Point(-79.5901 -2.1353),Ecuador
Unión Deportiva Valdez,Q5476415,Point(-79.5901 -2.1353),Ecuador
Valdez Sporting Club,Q5476415,Point(-79.5901 -2.1353),Ecuador
Guildford City F.C.,Guildford Spectrum,Point(-0.56288 51.2484),United Kingdom
Q5774954,Q5479898,Point(-70.58486389 -33.47271944),Chile
Sudet,Kouvolan keskuskenttä,Point(26.71333333 60.87194444),Finland
Unión Minas,Estadio Daniel Alcides Carrión,Point(-76.2480272 -10.6849799),Peru
Juventud Ticlacayán,Estadio Daniel Alcides Carrión,Point(-76.2480272 -10.6849799),Peru
Palloseura Kemi Kings,Sauvosaaren Urheilupuisto,Point(24.5606 65.7297),Finland
Villajoyosa CF,Q5490805,Point(-0.239586 38.5021),Spain
Tampereen Pallo-Veikot,Tammela Stadion,Point(23.785278 61.500278),Finland
Ilves,Tammela Stadion,Point(23.785278 61.500278),Finland
Q20914939,Tammela Stadion,Point(23.785278 61.500278),Finland
Waitakere United,Fred Taylor Park,Point(174.596 -36.8001),New Zealand
Waitakere City F.C.,Fred Taylor Park,Point(174.596 -36.8001),New Zealand
Fredericksburg Gunners,Fredericksburg Academy,Point(-77.4936 38.2541),United States of America
Frederikshavn fI,Frederikshavn Stadion,Point(10.5204 57.4412),Denmark
Reno F.C.,Frome Sports Club,Point(-78.1499 18.296),Jamaica
Savannah S.C.,Frome Sports Club,Point(-78.1499 18.296),Jamaica
ÍF Fuglafjørður,Fuglafjørdur Stadium,Point(-6.814399 62.245018),Faroe Islands
Fujairah CS,Fujairah Club Stadium,Point(56.343480555 25.130122222),United Arab Emirates
Dibba Club,Fujairah Club Stadium,Point(56.343480555 25.130122222),United Arab Emirates
Fukushima United FC,Fukushima Azuma Stadium,Point(140.361389 37.723333),Japan
Chongqing Lifan F.C.,Fuling Stadium,Point(107.387012 29.701548),People's Republic of China
Shkumbini Peqin,Fusha Sportive Peqin,Point(19.752772 41.042472),Albania
S.L. Benfica Juniors,Futebol Campus,Point(-9.091944 38.640556),Portugal
Thrasyvoulos F.C.,Fyli Municipal Stadium,Point(23.651244 38.096319),Greece
Asker Fotball,Føyka Stadion,Point(10.427929 59.834889),Norway
Attersana S.C.,GMR Stadium,Point(13.136944 32.859722),Libya
Almahalla Tripoli,GMR Stadium,Point(13.136944 32.859722),Libya
Alamn Alaam,GMR Stadium,Point(13.136944 32.859722),Libya
Enosis Neon Trust,GSP Stadium (1902),Point(33.3558 35.168),Cyprus
AYMA,GSP Stadium (1902),Point(33.3558 35.168),Cyprus
EPA Larnaca FC,GSZ Stadium (1928),Point(33.628333 34.914167),Cyprus
Annan Athletic F.C.,Galabank,Point(-3.26174 54.9938),United Kingdom
Maidstone United F.C.,Gallagher Stadium,Point(0.515833 51.28),United Kingdom
Gangwon FC,Gangneung Stadium,Point(128.897503 37.77366),South Korea
Gangneung City FC,Gangneung Stadium,Point(128.897503 37.77366),South Korea
Kapaz PFC,Ganja City Stadium,Point(46.361944444 40.706111111),Azerbaijan
Kitwe United F.C.,Garden Park,Point(28.21972222 -12.79138889),Zambia
FK Banga Gargždai,Gargždai Stadium,Point(21.404444 55.715278),Lithuania
Tavua F.C.,Garvey Park,Point(177.86194444 -17.44444444),Fiji
Jacksonville Tea Men,Gator Bowl Stadium,Point(-81.6375 30.323888888),United States of America
Persijap Jepara,Gelora Bumi Kartini Stadium,Point(110.66369 -6.583517),Indonesia
Hellerup IK,Gentofte Stadion,Point(12.52722222 55.75805556),Denmark
Boldklubben 1903,Gentofte Stadion,Point(12.52722222 55.75805556),Denmark
Dandenong Thunder SC,George Andrews Reserve,Point(145.211944 -38.0025),Australia
Apollon Smyrna F.C.,Georgios Kamaras Stadium,Point(23.741033 38.028156),Greece
Club Presidente Hayes,Q5549081,Point(-57.6496451 -25.2962651),Paraguay
Forest City London,German-Canadian Club of London Field,Point(-81.2615 42.9796),Canada
Atromitos Yeroskipou,Geroskipou Municipal Stadium,Point(32.4407 34.74376),Cyprus
Foolad F.C.,Ghadir Stadium,Point(48.669167 31.320278),Iran
Excursionistas,Estadio de Excursionistas,Point(-58.443 -34.5589),Argentina
Gimhae City FC,Gimhae Stadium,Point(128.87638 35.255569),South Korea
Dynamos F.C.,Giyani Stadium,Point(30.71888889 -23.32222222),South Africa
Gjøvik FF,Gjøvik Stadion,Point(10.6819 60.7994),Norway
Brechin City F.C.,Glebe Park,Point(-2.65639 56.7353),United Kingdom
Becamex Binh Duong F.C.,Go Dau Stadium,Point(106.672 10.970043),Vietnam
Free State Stars F.C.,Goble Park,Point(28.305 -28.231667),South Africa
Carara Kicks F.C.,Goble Park,Point(28.305 -28.231667),South Africa
FK Karaorman,Gradska Plaža Stadium,Point(20.6842 41.1728),North Macedonia
FK Vlaznimi,Gradska Plaža Stadium,Point(20.6842 41.1728),North Macedonia
GFK Tikveš,Gradski Stadion Kavadarci,Point(22.02336111 41.43511111),North Macedonia
FK Jedinstvo Bijelo Polje,Gradski stadion,Point(19.742416666 43.030388888),Montenegro
FK Tekstilac,Gradski stadion,Point(19.742416666 43.030388888),Montenegro
FK Radnik Bijeljina,Gradski stadion,Point(19.225 44.75444444),Bosnia and Herzegovina
HNŠK Moslavina,Gradski stadion,Point(16.7825 45.487778),Croatia
Chemelil Sugar F.C.,Chemelil Sports Complex,Point(35.130556 -0.0775),Kenya
Folkestone Invicta F.C.,Cheriton Road,Point(1.15945 51.0866),United Kingdom
FC Chernomorets Burgas,Chernomorets Stadium,Point(27.453056 42.490278),Bulgaria
FC Chernomorets 1919 Burgas,Chernomorets Stadium,Point(27.453056 42.490278),Bulgaria
SHB Da Nang F.C.,Chi Lang Stadium,Point(108.216475 16.069609),Vietnam
Warriors FC,Choa Chu Kang Stadium,Point(103.749052 1.391173),Singapore
Baton Rouge Capitals,Christian Life Academy,Point(-91.1309 30.3971),United States of America
Huntly F.C.,"Christie Park, Huntly",Point(-2.78306111 57.44907222),United Kingdom
Buxmont Torch FC,Christopher Dock Mennonite High School,Point(-75.3358 40.2547),United States of America
Chuncheon FC,Chuncheon Stadium,Point(127.69105278 37.856075),South Korea
Hayes F.C.,Church Road,Point(-0.422233 51.515072),United Kingdom
Cambridge City F.C.,"City Ground, Cambridge",Point(0.1225 52.21638889),United Kingdom
Westchester Flames,City Park Stadium,Point(-73.7959 40.9302),United States of America
Richmond Kickers,City Stadium,Point(-77.4868 37.5497),United States of America
GKS Jastrzębie,City Stadium Jastrzębie-Zdrój,Point(18.611944 49.95),Poland
UD Lanzarote,Ciudad Deportiva de Lanzarote,Point(-13.554307 28.966697),Spain
CD Orientación Marítima,Ciudad Deportiva de Lanzarote,Point(-13.554307 28.966697),Spain
Civo United,Civo Stadium,Point(33.758611 -13.97825),Malawi
Fort William F.C.,Claggan Park,Point(-5.087075 56.822353),United Kingdom
Ards F.C.,Clandeboye Park,Point(-5.68447 54.6516),United Kingdom
